# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_10-27-44
---
'ai'pang'xing 矮胖型
'an'bei 鞍背
'an'dai 暗带
'an'ge 鞍膈
'an'ji'ding'suan'neng'shen'jing'yuan 氨基丁酸能神经元
'an'jie'jie 鞍结节
'an'zhuang'guan'jie 鞍状关节
'ao'jian'ren'dai 凹间韧带
'ao'nu'fu'luo'wei'qi'he 奥奴弗罗维奇核
'ba'lin'dun'he 巴林顿核
'ba'qi'guan 靶器官
'ba'xi'bao 靶细胞
'ba'zu'zhi 靶组织
'bai'jiao'tong'zhi 白交通支
'bai'mo 白膜
'bai'xian 白线
'bai'xian'zhi'zuo 白线支座
'bai'zhi 白质
'bai'zhi'hou'lian'he 白质后连合
'bai'zhi'qian'lian'he 白质前连合
'ban'ceng 板层
'ban'gu'hou'ren'dai 板股后韧带
'ban'gu'qian'ren'dai 板股前韧带
'ban'guan'jie'mian 半关节面
'ban'gui'guan'gu'you'mo 半规管固有膜
'ban'gui'guan'ji'di'mo 半规管基底膜
'ban'hou'bu 板后部
'ban'huan'xian 半环线
'ban'ji'ji 半棘肌
'ban'jian'ji 半腱肌
'ban'mo'ji 半膜肌
'ban'mo'ji'nang 半膜肌囊
'ban'nei'bu 板内部
'ban'nei'he 板内核
'ban'nei'he'qun 板内核群
'ban'qi'jing'mai 半奇静脉
'ban'qian'bu 板前部
'ban'qian'zhi 板前支
'ban'xing'jing'mai 伴行静脉
'ban'yu'ji 半羽肌
'ban'yue'ban 半月板
'ban'yue'ban 半月瓣
'ban'yue'ban'hu'yuan 半月瓣弧缘
'ban'yue'ban'xiao'jie 半月瓣小结
'ban'yue'bi 半月襞
'ban'yue'lie'kong 半月裂孔
'ban'yue'xian 半月线
'ban'zhang 板障
'ban'zhang'guan 板障管
'ban'zhang'jing'mai 板障静脉
'ban'zhang'zhi 板障支
'bao'mo 薄膜
'bao'pi'ji'dai 包皮系带
'bao'pi'xian 包皮腺
'bao'ti 胞体
'bei'bu 背部
'bei'ce 背侧
'bei'ce'bei'gai'he 背侧被盖核
'bei'ce'fu'gan'lan'he 背侧副橄榄核
'bei'ce'jie'jie 背侧结节
'bei'ce'mian 背侧面
'bei'ce'qiu'nao 背侧丘脑
'bei'ce'zhi 背侧支
'bei'ce'zong'shu 背侧纵束
'bei'fu'shang'pi 被覆上皮
'bei'gai 被盖
'bei'gai'bei'ce'jiao'cha 被盖背侧交叉
'bei'gai'fu'ce'jiao'cha 被盖腹侧交叉
'bei'gai'qu 被盖区
'bei'gai'zhong'yang'shu 被盖中央束
'bei'ji 背肌
'bei'kuo'ji 背阔肌
'bei'kuo'ji'jian'xia'nang 背阔肌腱下囊
'bei'nei'ce'he 背内侧核
'bei'qu 背屈
'bei'wai'ce'bei'gai'qu 背外侧被盖区
'bei'wai'ce'he 背外侧核
'bei'wai'ce'shu 背外侧束
'ben'men 贲门
'ben'men'bu 贲门部
'ben'men'lin'ba'huan 贲门淋巴环
'ben'men'qie'ji 贲门切迹
'bi'bei 鼻背
'bi'bei'dong'mai 鼻背动脉
'bi'bu 鼻部
'bi'ceng 壁层
'bi'chun'gou 鼻唇沟
'bi'chun'lin'ba'jie 鼻唇淋巴结
'bi'cong 臂丛
'bi'di 鼻堤
'bi'e'chang'shen'jing 鼻腭长神经
'bi'e'duan'shen'jing 鼻腭短神经
'bi'e'jing'mai 鼻额静脉
'bi'e'shen'jing 鼻腭神经
'bi'fu'mo 壁腹膜
'bi'fu'ruan'gu 鼻副软骨
'bi'gen 鼻根
'bi'gen'dian 鼻根点
'bi'gu 鼻骨
'bi'gu'jian'feng 鼻骨间缝
'bi'gu'kong 鼻骨孔
'bi'gu'zhong'ge 鼻骨中隔
'bi'hou'ji 鼻后棘
'bi'hou'kong 鼻后孔
'bi'hou'pi'shen'jing 臂后皮神经
'bi'hou'qu 臂后区
'bi'hou'shang'nei'ce'zhi 鼻后上内侧支
'bi'hou'shang'wai'ce'zhi 鼻后上外侧支
'bi'hou'wai'ce'dong'mai 鼻后外侧动脉
'bi'hou'xia'zhi 鼻后下支
'bi'ji 鼻嵴
'bi'ji 鼻棘
'bi'ji 鼻肌
'bi'ji'li 比肌力
'bi'jia'hai'mian'cong 鼻甲海绵丛
'bi'jia'ji 鼻甲嵴
'bi'jian 鼻尖
'bi'jie'gen 鼻睫根
'bi'jie'shen'jing 鼻睫神经
'bi'jin'mo 臂筋膜
'bi'kong 闭孔
'bi'kong 鼻孔
'bi'kong'dong'mai 闭孔动脉
'bi'kong'gou 闭孔沟
'bi'kong'hou'jie'jie 闭孔后结节
'bi'kong'ji 闭孔嵴
'bi'kong'jin'mo 闭孔筋膜
'bi'kong'jing'mai 闭孔静脉
'bi'kong'lin'ba'jie 闭孔淋巴结
'bi'kong'mo 闭孔膜
'bi'kong'nei'ji 闭孔内肌
'bi'kong'nei'ji'jian'xia'nang 闭孔内肌腱下囊
'bi'kong'nei'ji'shen'jing 闭孔内肌神经
'bi'kong'nei'ji'zuo'gu'nang 闭孔内肌坐骨囊
'bi'kong'qian'jie'jie 闭孔前结节
'bi'kong'shen'jing 闭孔神经
'bi'kong'wai'ji 闭孔外肌
'bi'kong'zhi 闭孔支
'bi'lei'guan 鼻泪管
'bi'lei'guan'kou 鼻泪管口
'bi'mao 鼻毛
'bi'mian 鼻面
'bi'mo'guan 闭膜管
'bi'mu'yu'ji 比目鱼肌
'bi'mu'yu'ji'jian'gong 比目鱼肌腱弓
'bi'mu'yu'ji'xian 比目鱼肌线
'bi'nei'ce'ji'jian'ge 臂内侧肌间隔
'bi'nei'ce'pi'shen'jing 臂内侧皮神经
'bi'nei'ce'zhi 鼻内侧支
'bi'nei'zhi 鼻内支
'bi'nian'mo 鼻黏膜
'bi'nian'mo'xiu'qu 鼻黏膜嗅区
'bi'pang'dou 鼻旁窦
'bi'pang'he 臂旁核
'bi'pang'nei'ce'he 臂旁内侧核
'bi'pang'wai'ce'he 臂旁外侧核
'bi'qian'ji 鼻前棘
'bi'qian'qu 臂前区
'bi'qian'ting 鼻前庭
'bi'qian'wai'ce'zhi 鼻前外侧支
'bi'qiang 鼻腔
'bi'qie'ji 鼻切迹
'bi'qu 鼻区
'bi'ruan'gu 鼻软骨
'bi'se'bu 闭塞部
'bi'shang'he'feng 鼻上颌缝
'bi'wai'ce'ji'jian'ge 臂外侧肌间隔
'bi'wai'ce'shang'pi'shen'jing 臂外侧上皮神经
'bi'wai'ce'xia'pi'shen'jing 臂外侧下皮神经
'bi'wai'ce'zhi 鼻外侧支
'bi'wai'jing'mai 鼻外静脉
'bi'wai'zhi 鼻外支
'bi'xian 鼻腺
'bi'xiong'mo 壁胸膜
'bi'yan 鼻咽
'bi'yan'dao 鼻咽道
'bi'yan'hu 鼻烟壶
'bi'yi 鼻翼
'bi'yi'da'ruan'gu 鼻翼大软骨
'bi'yi'xiao'ruan'gu 鼻翼小软骨
'bi'yu 鼻阈
'bi'yuan 鼻缘
'bi'zhong'ge 鼻中隔
'bi'zhong'ge'hou'zhi 鼻中隔后支
'bi'zhong'ge'qian'zhi 鼻中隔前支
'bi'zhong'ge'ruan'gu 鼻中隔软骨
'bi'zhong'ge'zhi 鼻中膈支
'bi'zhong'ge'zhi 鼻中隔支
'bian'gu 扁骨
'bian'ji 扁肌
'bian'ping'zu 扁平足
'bian'tao'ti 扁桃体
'bian'tao'ti'nang 扁桃体囊
'bian'tao'ti'shang'wo 扁桃体上窝
'bian'tao'ti'wo 扁桃体窝
'bian'tao'ti'xiao'wo 扁桃体小窝
'bian'tao'ti'yin'wo 扁桃体隐窝
'bian'tao'ti'zhi 扁桃体支
'bian'yi 变异
'bian'yuan'dong'mai 边缘动脉
'bian'yuan'xi 边缘系
'bian'yuan'xi'tong 边缘系统
'bian'yuan'ye 边缘叶
'biao'guan'jie'mian 杓关节面
'biao'heng'ji 杓横肌
'biao'hui'yan'bi 杓会厌襞
'biao'hui'yan'bu 杓会厌部
'biao'jian'bi 杓间襞
'biao'jian'qie'ji 杓间切迹
'biao'mian'jie'pou'xue 表面解剖学
'biao'pi 表皮
'biao'xie'ji 杓斜肌
'biao'zai'dan'bai 表在蛋白
'biao'zhuang'hui'yan'bi 杓状会厌襞
'biao'zhuang'ruan'gu 杓状软骨
'biao'zhuang'ruan'gu'di 杓状软骨底
'biao'zhuang'ruan'gu'jian 杓状软骨尖
'bin'di 髌底
'bin'gu 髌骨
'bin'jian 髌尖
'bin'mian 髌面
'bin'nei'ce'zhi'chi'dai 髌内侧支持带
'bin'qian'jian'xia'nang 髌前腱下囊
'bin'qian'jin'mo'xia'nang 髌前筋膜下囊
'bin'qian'pi'xia'nang 髌前皮下囊
'bin'ren'dai 髌韧带
'bin'shang'nang 髌上囊
'bin'wai'ce'zhi'chi'dai 髌外侧支持带
'bin'wang 髌网
'bin'xia'hua'mo'bi 髌下滑膜襞
'bin'xia'pi'xia'nang 髌下皮下囊
'bin'xia'shen'nang 髌下深囊
'bin'xia'zhi 髌下支
'bin'xia'zhi'ti 髌下脂体
'bing'dong'shi'ke 冰冻蚀刻
'bing'xiong'jie'he 柄胸结合
'bing'xiong'lian'he 柄胸联合
'bo'li'ti 玻璃体
'bo'li'ti'dong'mai 玻璃体动脉
'bo'li'ti'fang 玻璃体房
'bo'li'ti'guan 玻璃体管
'bo'li'ti'ji'zhi 玻璃体基质
'bo'li'ti'mo 玻璃体膜
'bo'li'ti'wo 玻璃体窝
'bo'li'ti'ye 玻璃体液
'bo'shu 薄束
'bo'shu'he 薄束核
'bo'shu'jie'jie 薄束结节
'bu'gui'ze'gu 不规则骨
'cang'bai'qiu 苍白球
'cang'bai'qiu'zhi 苍白球支
'ce'bu 侧部
'ce'fu'gou 侧副沟
'ce'fu'guan 侧副管
'ce'fu'long'qi 侧副隆起
'ce'fu'ren'dai 侧副韧带
'ce'fu'san'jiao 侧副三角
'ce'fu'zhi 侧副支
'ce'jiao 侧角
'ce'kuai 侧块
'ce'nao'shi 侧脑室
'ce'nao'shi'mai'luo'cong 侧脑室脉络丛
'ce'nao'shi'mai'luo'cong'zhi 侧脑室脉络丛支
'ce'nao'shi'nei'ce'jing'mai 侧脑室内侧静脉
'ce'nao'shi'wai'ce'jing'mai 侧脑室外侧静脉
'ce'nao'shi'xia'jing'mai 侧脑室下静脉
'ce'qu 侧屈
'ce'yuan 侧缘
'ce'zhu 侧柱
'chang'cong 肠丛
'chang'gan 肠干
'chang'gu 长骨
'chang'guan'pang'lin'ba'jie 肠管旁淋巴结
'chang'ji 长肌
'chang'ji'cong 肠肌丛
'chang'jiao 长脚
'chang'mian 肠面
'chang'niu 长纽
'chang'qu'ji 长屈肌
'chang'qu'ji'jian'gou 长屈肌腱沟
'chang'qu'ji'jian'qiao 长屈肌腱鞘
'chang'shen'ji 长伸肌
'chang'shen'ji'jian'qiao 长伸肌腱鞘
'chang'shou'ji 长收肌
'chang'tou 长头
'chang'xi'mo 肠系膜
'chang'xi'mo'gen 肠系膜根
'chang'xi'mo'jian'cong 肠系膜间丛
'chang'xi'mo'lin'ba'jie 肠系膜淋巴结
'chang'xi'mo'shang'cong 肠系膜上丛
'chang'xi'mo'shang'dong'mai 肠系膜上动脉
'chang'xi'mo'shang'jing'mai 肠系膜上静脉
'chang'xi'mo'shang'lin'ba'jie 肠系膜上淋巴结
'chang'xi'mo'shang'shen'jing'jie 肠系膜上神经节
'chang'xi'mo'xia'cong 肠系膜下丛
'chang'xi'mo'xia'dong'mai 肠系膜下动脉
'chang'xi'mo'xia'jing'mai 肠系膜下静脉
'chang'xi'mo'xia'lin'ba'jie 肠系膜下淋巴结
'chang'xi'mo'xia'shen'jing'jie 肠系膜下神经节
'chang'xi'mo'zhong'yang'lin'ba'jie 肠系膜中央淋巴结
'chang'zhi'chui 肠脂垂
'chang'zhong'yang'dong'mai 长中央动脉
'che'zhou'guan'jie 车轴关节
'cheng'gu'xi'bao 成骨细胞
'cheng'xian'wei'xi'bao 成纤维细胞
'chi'ce 尺侧
'chi'ce'fan'dong'mai 尺侧返动脉
'chi'ce'fu'ren'dai 尺侧副韧带
'chi'ce'shang'fu'dong'mai 尺侧上副动脉
'chi'ce'wan'qu'ji 尺侧腕屈肌
'chi'ce'wan'shen'ji 尺侧腕伸肌
'chi'ce'wan'shen'ji'jian'qiao 尺侧腕伸肌腱鞘
'chi'ce'xia'fu'dong'mai 尺侧下副动脉
'chi'dao 赤道
'chi'dong'mai 尺动脉
'chi'gu 尺骨
'chi'gu 耻骨
'chi'gu'cu'long 尺骨粗隆
'chi'gu'gong 耻骨弓
'chi'gu'gong'zhuang'ren'dai 耻骨弓状韧带
'chi'gu'guan'tu 尺骨冠突
'chi'gu'hou'jian'xi 耻骨后间隙
'chi'gu'hua'che'qie'ji 尺骨滑车切迹
'chi'gu'ji 耻骨嵴
'chi'gu'ji 耻骨肌
'chi'gu'ji'xian 耻骨肌线
'chi'gu'jian'pan 耻骨间盘
'chi'gu'jie'jie 耻骨结节
'chi'gu'jing'tu 尺骨茎突
'chi'gu'lian'he 耻骨联合
'chi'gu'lian'he'mian 耻骨联合面
'chi'gu'pang'guang'ji 耻骨膀胱肌
'chi'gu'pang'guang'ren'dai 耻骨膀胱韧带
'chi'gu'qian'lie'xian'ji 耻骨前列腺肌
'chi'gu'qian'lie'xian'ren'dai 耻骨前列腺韧带
'chi'gu'rao'qie'ji 尺骨桡切迹
'chi'gu'ren'dai 耻股韧带
'chi'gu'ren'dai 耻骨韧带
'chi'gu'shang'ren'dai 耻骨上韧带
'chi'gu'shang'zhi 耻骨上支
'chi'gu'shu 耻骨梳
'chi'gu'shu'ren'dai 耻骨梳韧带
'chi'gu'ti 尺骨体
'chi'gu'ti 耻骨体
'chi'gu'tou 尺骨头
'chi'gu'xia'jiao 耻骨下角
'chi'gu'xia'zhi 耻骨下支
'chi'gu'yin'dao'ji 耻骨阴道肌
'chi'gu'ying'zui 尺骨鹰嘴
'chi'gu'zhi 耻骨支
'chi'gu'zhi'chang'ji 耻骨直肠肌
'chi'jing'mai 尺静脉
'chi'qie'ji 尺切迹
'chi'qu 耻区
'chi'shen'jing 尺神经
'chi'shen'jing'gou 尺神经沟
'chi'shen'jing'jiao'tong'zhi 尺神经交通支
'chi'shen'jing'shou'bei'zhi 尺神经手背支
'chi'shen'jing'zhang'zhi 尺神经掌支
'chi'tou 尺头
'chi'tu 匙突
'chi'tu 齿突
'chi'tu'ao 齿突凹
'chi'tu'jian 齿突尖
'chi'tu'jian'ren'dai 齿突尖韧带
'chi'wan'zhang'ce'ren'dai 尺腕掌侧韧带
'chi'wei'ji 耻尾肌
'chi'ya 迟牙
'chi'zhuang'he 齿状核
'chi'zhuang'he'men 齿状核门
'chi'zhuang'hong'he'shu 齿状红核束
'chi'zhuang'hui 齿状回
'chi'zhuang'qiu'nao'shu 齿状丘脑束
'chi'zhuang'ren'dai 齿状韧带
'chi'zhuang'xian 齿状线
'chi'zuo'zhi'bu'chang'he 耻坐支不长合
'chu'ji'gu'hua'zhong'xin 初级骨化中心
'chu'jiu'guan'jie 杵臼关节
'chu'jue'xiao'zhu 触觉小珠
'chu'nv'mo 处女膜
'chu'nv'mo'hen 处女膜痕
'chu'qiu'xiao'dong'mai 出球小动脉
'chuan'chu'shen'jing'xian'wei 传出神经纤维
'chuan'chu'shen'jing'yuan 传出神经元
'chuan'dao'lu 传导路
'chuan'dao'tong'lu 传导通路
'chuan'dong'mai 穿动脉
'chuan'jing'mai 穿静脉
'chuan'pi'shen'jing 穿皮神经
'chuan'ru'shen'jing'xian'wei 传入神经纤维
'chuan'ru'shen'jing'yuan 传入神经元
'chuan'zhi 穿支
'chui'gu 锤骨
'chui'gu'bing 锤骨柄
'chui'gu'hou'bi 锤骨后襞
'chui'gu'jing 锤骨颈
'chui'gu'qian'bi 锤骨前襞
'chui'gu'qian'ren'dai 锤骨前韧带
'chui'gu'shang'ren'dai 锤骨上韧带
'chui'gu'tou 锤骨头
'chui'gu'wai'ce'ren'dai 锤骨外侧韧带
'chui'ti 垂体
'chui'ti'bing 垂体柄
'chui'ti'men'jing'mai 垂体门静脉
'chui'ti'shang'dong'mai 垂体上动脉
'chui'ti'wo 垂体窝
'chui'ti'xia'dong'mai 垂体下动脉
'chui'tu 锤凸
'chui'wen 锤纹
'chui'zhi 垂直
'chui'zhi'ban 垂直板
'chui'zhi'zhou 垂直轴
'chun'bu 唇部
'chun'hou'lian'he 唇后连合
'chun'lian'he 唇联合
'chun'mian 唇面
'chun'qian'lian'he 唇前连合
'chun'xian 唇腺
'chun'zhi 唇支
'ci'ji'gu'hua'zhong'xin 次级骨化中心
'ci'lie 次裂
