# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-12
---
'yi'xing'hu'xi'shuai'jie Ⅰ型呼吸衰竭
'er'xing'hu'xi'shuai'jie Ⅱ型呼吸衰竭
'TNM'fen'qi TNM分期
'a'er'fa'kang'yi'dan'bai'mei'que'fa'zheng α-抗胰蛋白酶缺乏症
'a'mi'ba'fei'nong'zhong 阿米巴肺脓肿
'a'si'pi'lin'xiao'chuan 阿司匹林哮喘
'ai'zi'bing'he'bing'fei'jie'he 艾滋病合并肺结核
'an'cha'jian'yao'wu'fan'ying 氨茶碱药物反应
'ba'de'ji'ya'li'zong'he'zheng 巴德-基亚里综合征
'bu'jia'zong'he'zheng 布-加综合征
'ban'hen'pang'fei'qi'zhong 瘢痕旁肺气肿
'ban'hen'xing'fei'qi'zhong 瘢痕性肺气肿
'bao'guo'xing'xiong'qiang'ji'ye 包裹性胸腔积液
'bao'nei'fen'zhi'gan'jun'gan'ran 胞内分枝杆菌感染
'bao'man'bu'dong'gan'jun'fei'yan 鲍曼不动杆菌肺炎
'bei'dong'xi'yan 被动吸烟
'beng'shuai'jie 泵衰竭
'bi'yan 鼻炎
'bi'he'shang 闭合伤
'bi'he'xing'qi'xiong 闭合性气胸
'bi'se'xing'xi'zhi'qi'guan'yan 闭塞性细支气管炎
'bi'se'xing'xi'zhi'qi'guan'yan'zong'he'zheng 闭塞性细支气管炎综合征
'bian'tai'fan'ying'xing'qi'dao'yan'zheng 变态反应性气道炎症
'bian'ying'xing'bi'yan 变应性鼻炎
'guo'min'xing'bi'yan 过敏性鼻炎
'bian'ying'xing'ke'sou 变应性咳嗽
'bian'ying'xing'zhi'qi'guan'fei'qu'mei'bing 变应性支气管肺曲霉病
'bian'ying'xing'zhi'qi'guan'fei'qu'mei'bing 变应性支气管肺曲霉病
'bian'tai'fan'ying'xing'zhi'qi'guan'fei'qu'mei'jun'bing 变态反应性支气管肺曲霉菌病
'guo'min'xing'zhi'qi'guan'fei'qu'mei'bing 过敏性支气管肺曲霉病
'bing'du'xing'fei'yan 病毒性肺炎
'bing'li'xing'fen'liu 病理性分流
'bu'dong'gan'jun'fei'yan 不动杆菌肺炎
'bu'dong'gan'jun'xing'fei'yan 不动杆菌性肺炎
'bu'ning'tui'zong'he'zheng 不宁腿综合征
'bu'wan'quan'ke'ni'xing'qi'liu'shou'xian 不完全可逆性气流受限
'chang'yuan'xing'gan'ran 肠源性感染
'chang'yuan'xing'nang'zhong 肠源性囊肿
'chen'jiu'xing'fei'jie'he 陈旧性肺结核
'chen'jiu'xing'xiong'mo'jie'he 陈旧性胸膜结核
'chen'jiu'xing'zhi'qi'guan'lin'ba'jie'he 陈旧性支气管淋巴结核
'cheng'ren'fei'tou'ming'mo'bing 成人肺透明膜病
'chi'fa'xiang'xiao'chuan'fan'ying 迟发相哮喘反应
'chong'ji'shang'zong'he'zheng 冲击伤综合征
'chong'die'zong'he'zheng 重叠综合征
'chu'kou'bu'wei'gan'ran 出口部位感染
'chuan'ru'shang 穿入伤
'chuan'xi'xing'zhi'qi'guan'fei'yan 喘息性支气管肺炎
'chuang'shang'xing'ge'shan 创伤性膈疝
'chuang'shang'xing'fei'shui'zhong 创伤性肺水肿
'chuang'shang'xing'kong'qi'shuan'se 创伤性空气栓塞
'chuang'shang'xing'qi'xiong 创伤性气胸
'chuang'shang'xing'shi'fei 创伤性湿肺
'chuang'shang'xing'xiong'qiang'ji'ye 创伤性胸腔积液
'chuang'shang'xing'xue'xiong 创伤性血胸
'kai'fang'xing'xue'xiong 开放性血胸
'chuang'shang'xing'zhi'fang'shuan'se 创伤性脂肪栓塞
'chuang'shang'xing'zhi'xi 创伤性窒息
'ci'da'mian'ji'fei'shuan'se 次大面积肺栓塞
'cui'xing'xiao'chuan 脆性哮喘
'da'ma'chen'fei 大麻尘肺
'da'mian'ji'fei'shuan'se 大面积肺栓塞
'da'pao'xing'fei'qi'zhong 大泡性肺气肿
'da'qi'dao'xia'zhai 大气道狭窄
'da'qi'dao'xian'bi 大气道陷闭
'da'qi'xing'que'yang 大气性缺氧
'da'xi'bao'ai 大细胞癌
'da'ye'xing'fei'yan 大叶性肺炎
'dai'chang'xing'fei'guo'du'chong'qi 代偿性肺过度充气
'dai'chang'xing'fei'qi'zhong 代偿性肺气肿
'dai'chang'xing'hu'xi'xing'suan'zhong'du 代偿性呼吸性酸中毒
'dai'chang'xing'jian'zhong'du 代偿性碱中毒
'dai'chang'xing'kang'yan'zheng'fan'ying'zong'he'zheng 代偿性抗炎症反应综合征
'dai'chang'xing'suan'zhong'du 代偿性酸中毒
'dai'xie'xing'jian'zhong'du 代谢性碱中毒
'dai'xie'xing'suan'zhong'du 代谢性酸中毒
'dai'xie'xing'suan'zhong'du'he'bing'hu'xi'xing'jian'zhong'du 代谢性酸中毒合并呼吸性碱中毒
'dai'gan'ran 袋感染
'dan'ce'fei'qi'zhong 单侧肺气肿
'dan'ce'ge'ji'ma'bi 单侧膈肌麻痹
'dan'ce'tou'ming'fei'zong'he'zheng 单侧透明肺综合征
'dan'chun'fei'yan'pang'xiong'qiang'ji'ye 单纯肺炎旁胸腔积液
'dan'chun'han'zheng 单纯鼾症
'dan'chun'pao'zhen'bing'du'fei'yan 单纯疱疹病毒肺炎
'dan'gu'chun'xing'fei'yan 胆固醇性肺炎
'dan'gu'chun'xing'xiong'mo'yan 胆固醇性胸膜炎
'dan'zhi'xing'xiong'mo'yan 胆汁性胸膜炎
'dan'bai'zhi'neng'liang'ying'yang'bu'liang 蛋白质能量营养不良
'dao'guan'ding'zhi 导管定植
'dao'guan'xiang'guan'xing'jing'mai'xue'shuan 导管相关性静脉血栓
'dao'guan'xiang'guan'xing'xue'liu'gan'ran 导管相关性血流感染
'deng'rong'liang'xing'di'na'xue'zheng 等容量性低钠血症
'deng'shen'xing'tuo'shui 等滲性脱水
'di'bai'dan'bai'xue'zheng 低白蛋白血症
'di'dan'bai'xue'zheng 低蛋白血症
'di'gai'xue'zheng 低钙血症
'di'jia'xing'jian'zhong'du 低钾性碱中毒
'di'jia'xue'zheng 低钾血症
'di'lin'xue'zheng 低磷血症
'di'lv'xing'jian'zhong'du 低氯性碱中毒
'di'na'di'lv'xue'zheng 低钠低氯血症
'di'na'xue'zheng 低钠血症
'di'pin'pi'lao 低频疲劳
'di'rong'liang'xing'di'na'xue'zheng 低容量性低钠血症
'di'rong'liang'xing'gao'na'xue'zheng 低容量性高钠血症
'di'shen'xing'tuo'shui 低渗性脱水
'di'tan'suan'xue'zheng 低碳酸血症
'di'xue'rong'liang'xing'xiu'ke 低血容量性休克
'di'ya'xing'que'yang 低压性缺氧
'di'yang'tuo'xi'fu 低氧脱习服
'di'yang'xue'zheng 低氧血症
'di'yang'xue'zheng'xiang'guan'xing'fei'dong'mai'gao'ya 低氧血症相关性肺动脉高压
'di'yang'xue'zheng'xing'hu'xi'shuai'jie 低氧血症型呼吸衰竭
'di'zhang'xing'que'yang 低张性缺氧
'dian'fen'yang'bian'xing 淀粉样变性
'dong'mai'xing'fei'dong'mai'gao'ya 动脉型肺动脉高压
'dong'tai'fei'guo'du'chong'qi 动态肺过度充气
'dui'ce'zong'ge'lin'ba'jie'zhuan'yi 对侧纵隔淋巴结转移
'dun'xing'shang 钝性伤
'duo'zhong'nai'yao'bao'man'bu'dong'gan'jun'fei'yan 多重耐药鲍曼不动杆菌肺炎
'duo'zhong'nai'yao'jun'gan'ran 多重耐药菌感染
'duo'fa'xing'ji'yan'xiang'guan'de'jian'zhi'xing'fei'bing 多发性肌炎相关的间质性肺病
'duo'fa'xing'xiong'mo'jie'jie 多发性胸膜结节
'duo'ji'yan'ban'fei'jian'zhi'xian'wei'hua 多肌炎伴肺间质纤维化
'duo'qi'guan'gong'neng'zhang'ai'zong'he'zheng 多器官功能障碍综合征
'duo'yin'su'fen'ji'xi'tong 多因素分级系统
'e'xing'xiong'mo'jie'jie 恶性胸膜结节
'e'xing'xiong'qiang'ji'ye 恶性胸腔积液
'er'tong'qi'xiao'chuan 儿童期哮喘
'fa'zuo'xing'shui'bing 发作性睡病
'fan'chang'xing'jian'xing'niao 反常性碱性尿
'fan'chang'xing'suan'xing'niao 反常性酸性尿
'fan'ying'xing'qi'dao'gong'neng'zhang'ai'zong'he'zheng 反应性气道功能障碍综合征
'fang'she'xing'fei'xian'wei'hua 放射性肺纤维化
'fang'she'xing'fei'yan 放射性肺炎
'fei'bian'ying'xing'xiao'chuan 非变应性哮喘
'fei'dian'xing'bing'yuan'ti'fei'yan 非典型病原体肺炎
'fei'fei'yan'de'jun'tuan'bing 非肺炎的军团病
'fei'jie'he'fen'zhi'gan'jun'fei'bing 非结核分枝杆菌肺病
'fei'si'chong'xing'ru'mi'xiong 非丝虫性乳糜胸
'fei'te'yi'xing'jian'zhi'xing'fei'yan 非特异性间质性肺炎
'fei'xiao'xi'bao'fei'ai 非小细胞肺癌
'fei'xin'yuan'xing'fei'shui'zhong 非心源性肺水肿
'fei'xue'shuan'xing'fei'shuan'se 非血栓性肺栓塞
'fei'pang'di'tong'qi'zong'he'zheng 肥胖低通气综合征
'pi'ke'wei'ke'zong'he'zheng 匹克威克综合征
