# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_10-27-47
---
'an'mian 安眠
'an'mian'xue 安眠穴
'ba'feng 八风
'ba'feng'xue 八风穴
'ba'hui'xue 八会穴
'ba'xie 八邪
'ba'xie'xue 八邪穴
'bai'chong'wo 百虫窝
'bai'chong'wo'xue 百虫窝穴
'bai'huan'yu 白环俞
'bai'huan'yu'xue 白环俞穴
'bai'hui 百会
'bai'hui'xue 百会穴
'bao'huang 胞肓
'bao'huang'xue 胞肓穴
'bei'shu'xue 背俞穴
'ben'men 贲门
'ben'shen 本神
'ben'shen'xue 本神穴
'bi'guan 髀关
'bi'guan'xue 髀关穴
'bi'nao 臂臑
'bi'nao'xue 臂臑穴
'bian'mi'dian 便秘点
'bian'tao 扁桃
'bian'tao'ti 扁桃体
'bing'feng 秉风
'bing'feng'xue 秉风穴
'bu'fa 补法
'bu'lang 步廊
'bu'lang'xue 步廊穴
'bu'rong 不容
'bu'rong'xue 不容穴
'bu'xie 补泻
'chang'qiang 长强
'chang'qiang'xue 长强穴
'cheng'fu 承扶
'cheng'fu'xue 承扶穴
'cheng'guang 承光
'cheng'guang'xue 承光穴
'cheng'jiang 承浆
'cheng'jiang'xue 承浆穴
'cheng'jin 承筋
'cheng'jin'xue 承筋穴
'cheng'ling 承灵
'cheng'ling'xue 承灵穴
'cheng'man 承满
'cheng'man'xue 承满穴
'cheng'qi 承泣
'cheng'qi'xue 承泣穴
'cheng'shan 承山
'cheng'shan'xue 承山穴
'chi'mai 瘛脉
'chi'mai'xue 瘛脉穴
'chi'ze 尺泽
'chi'ze'xue 尺泽穴
'chong'men 冲门
'chong'men'xue 冲门穴
'chong'yang 冲阳
'chong'yang'xue 冲阳穴
'chui'qian 垂前
'ci'liao 次髎
'ci'liao'xue 次髎穴
'cuan'zhu 攒竹
'cuan'zhu'xue 攒竹穴
'da'bao 大包
'da'bao'xue 大包穴
'da'chang 大肠
'da'chang'jing 大肠经
'da'chang'shu'xue 大肠俞穴
'da'chang'yu 大肠俞
'da'dou 大都
'da'dou'xue 大都穴
'da'dun 大敦
'da'dun'xue 大敦穴
'da'gu'kong 大骨空
'da'gu'kong'xue 大骨空穴
'da'he 大赫
'da'he'xue 大赫穴
'da'heng 大横
'da'heng'xue 大横穴
'da'ju 大巨
'da'ju'xue 大巨穴
'da'ling 大陵
'da'ling'xue 大陵穴
'da'ying 大迎
'da'ying'xue 大迎穴
'da'zhong 大钟
'da'zhong'xue 大钟穴
'da'zhu 大杼
'da'zhu'xue 大杼穴
'da'zhu'xue 大柱穴
'da'zhui 大椎
'da'zhui'xue 大椎穴
'dai'mai 带脉
'dai'mai'xue 带脉穴
'dan'jing 胆经
'dan'nang 胆囊
'dan'nang'xue 胆囊穴
'dan'shu'xue 胆俞穴
'dan'yu 胆俞
'dan'zhong'xue 膻中穴
'dang'yang 当阳
'dang'yang'xue 当阳穴
'di'cang 地仓
'di'cang'xue 地仓穴
'di'ji 地机
'di'ji'xue 地机穴
'di'wu'hui 地五会
'di'wu'hui'xue 地五会穴
'ding'chuan 定喘
'ding'chuan'xue 定喘穴
'ding'qu 顶区
'ding'xue 顶穴
'du'bi 犊鼻
'du'bi'xue 犊鼻穴
'du'mai 督脉
'du'shu'xue 督俞穴
'du'yin 独阴
'du'yin'xue 独阴穴
'du'yu 督俞
'dui'duan 兑端
'dui'duan'xue 兑端穴
'dui'er'lun 对耳轮
'dui'er'ping 对耳屏
'dui'ping'jian 对屏尖
'e'qu 额区
'e'xue 额穴
'er'bai 二白
'er'bai'xue 二白穴
'er'bei'fei 耳背肺
'er'bei'gan 耳背肝
'er'bei'gou 耳背沟
'er'bei'pi 耳背脾
'er'bei'shen 耳背肾
'er'bei'xin 耳背心
'er'he'liao 耳和髎
'er'he'liao'xue 耳和髎穴
'er'jia 耳甲
'er'jia'qiang 耳甲腔
'er'jia'ting 耳甲艇
'er'jian 二间
'er'jian 耳尖
'er'jian'xue 二间穴
'er'jian'xue 耳尖穴
'er'lun 耳轮
'er'lun'jiao 耳轮脚
'er'lun'wei 耳轮尾
'er'men 耳门
'er'men'xue 耳门穴
'er'mi'gen 耳迷根
'er'ping 耳屏
'er'zhong 耳中
'fei'chang'ji 腓肠肌
'fei'jing 肺经
'fei'qu 肺区
'fei'shu'xue 肺俞穴
'fei'xue 肺穴
'fei'yang 飞扬
'fei'yang'xue 飞扬穴
'fei'yu 肺俞
'feng'chi 风池
'feng'chi'xue 风池穴
'feng'fu 风府
'feng'fu'xue 风府穴
'feng'long 丰隆
'feng'long'xue 丰隆穴
'feng'men 风门
'feng'men'xue 风门穴
'feng'shi 风市
'feng'shi'xian 风湿线
'feng'shi'xue 风市穴
'feng'xi 风溪
'fu'ai 腹哀
'fu'ai'xue 腹哀穴
'fu'bai 浮白
'fu'bai'xue 浮白穴
'fu'fen 附分
'fu'fen'xue 附分穴
'fu'jian'yan'dian 附件炎点
'fu'jie 腹结
'fu'jie'xue 腹结穴
'fu'liu 复溜
'fu'liu'xue 复溜穴
'fu'qu 腹区
'fu'she 府舍
'fu'she'xue 府舍穴
'fu'tong'gu 腹通谷
'fu'tong'gu'xue 腹通谷穴
'fu'tu 伏兔
'fu'tu 扶兔
'fu'tu 扶突
'fu'tu'xue 伏兔穴
'fu'tu'xue 扶突穴
'fu'xi 浮郄
'fu'xi'xue 浮郄穴
'fu'xue 腹穴
'fu'yang 跗阳
'fu'yang'xue 跗阳穴
'gan'jing 肝经
'gan'mao'dian 感冒点
'gan'qu 肝区
'gan'shu'xue 肝俞穴
'gan'xue 肝穴
'gan'yan'dian 肝炎点
'gan'yang 肝阳
'gan'yu 肝俞
'gang'men 肛门
'gao'huang 膏肓
'gao'huang'xue 膏肓穴
'gao'huang'yu 膏肓俞
'gao'wan 睾丸
'gao'xue'ya'dian 高血压点
'ge'guan 膈关
'ge'guan'xue 膈关穴
'ge'yu 膈俞
'ge'yu'xue 膈俞穴
'gen'qu 跟区
'gen'xue 跟穴
'gong'sun 公孙
'gong'sun'xue 公孙穴
'gu'guan 股关
'guan'chong 关冲
'guan'chong'xue 关冲穴
'guan'men 关门
'guan'men'xue 关门穴
'guan'yuan 关元
'guan'yuan'xue 关元穴
'guan'yuan'yu 关元俞
'guan'yuan'yu'xue 关元俞穴
'guang'ming 光明
'guang'ming'xue 光明穴
'gui'lai 归来
'gui'lai'xue 归来穴
'guo'wo 腘窝
