# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_10-40-18
---
'gui'zhi'tang 桂枝汤
'gui'zhi'jia'gui'tang 桂枝加桂汤
'gui'zhi'jia'shao'yao'tang 桂枝加芍药汤
'gui'zhi'jia'dai'huang'tang 桂枝加大黄汤
'gui'zhi'jia'hou'po'xing'zi'tang 桂枝加厚朴杏子汤
'gui'zhi'jia'fu'zi'tang 桂枝加附子汤
'gua'zhi'qu'shao'yao'tang 挂枝去芍药汤
'gui'zhi'qu'shao'yao'jia'fu'zi'tang 桂枝去芍药加附子汤
'gui'zhi'qu'shao'yao'jia'shu'qi'mu'li'long'gu'jiu'ni'tang 桂枝去芍药加蜀漆牡蛎龙骨救逆汤
'gui'zhi'gan'cao'long'gu'mu'li'tang 桂枝甘草龙骨牡蛎汤
'gui'zhi'ren'shen'tang 桂枝人参汤
'gui'zhi'fu'zi'tang 桂枝附子汤
'gui'zhi'qu'gui'jia'fu'ling'bai'shu'tang 桂枝去桂加茯苓白朮汤
'gui'zhi'jia'shao'yao'sheng'jiang'ge'yi'liang'ren'shen'san'liang'xin'jia'tang 桂枝加芍药生姜各一两人参三两新加汤
'ma'huang'tang 麻黄汤
'da'qing'long'tang 大青龙汤
'xiao'qing'long'tang 小青龙汤
'gui'zhi'ma'huang'ge'ban'tang 桂枝麻黄各半汤
'gui'zhi'er'ma'huang'yi'tang 桂枝二麻黄一汤
'gui'zhi'er'yue'bi'yi'tang 桂枝二越婢一汤
'ma'huang'xi'xin'fu'zi'tang 麻黄细辛附子汤
'ma'huang'fu'zi'gan'cao'tang 麻黄附子甘草汤
'ma'huang'xing'ren'gan'cao'shi'gao'tang 麻黄杏仁甘草石膏汤
'ma'huang'lian'yao'chi'xiao'dou'tang 麻黄连轺赤小豆汤
'ge'gen'tang 葛根汤
'ge'gen'jia'ban'xia'tang 葛根加半夏汤
'ge'gen'huang'qin'huang'lian'tang 葛根黄芩黄连汤
'gui'zhi'jia'ge'gen'tang 桂枝加葛根汤
'bai'hu'tang 白虎汤
'bai'hu'jia'ren'shen'tang 白虎加人参汤
'zhu'ye'shi'gao'tang 竹叶石膏汤
'diao'wei'cheng'qi'tang 调胃承气汤
'xiao'cheng'qi'tang 小承气汤
'tao'he'cheng'qi'tang 桃核承气汤
'di'dang'tang 抵当汤
'da'xian'xiong'tang 大陷胸汤
