# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-13
---
'a'wei 阿魏
'ai'di'cha 矮地茶
'ai'dou 艾斗
'ai'fu 嗳腐
'ai'fu'nuan'gong'wan 艾附暖宫丸
'ai'hao 艾蒿
'ai'hong 艾宏
'ai'jiu'bu'xie 艾灸补泻
'ai'jiu'liao'fa 艾灸疗法
'ai'juan 艾卷
'ai'juan'jiu 艾卷灸
'ai'lu'fang'an 爱庐方案
'ai'lu'yi'an 爱庐医案
'ai'na'xiang 艾纳香
'ai'na'xiang'gen 艾纳香根
'ai'pian 艾片
'ai'rong 艾绒
'ai'tiao 艾条
'ai'tiao'jiu 艾条灸
'ai'xue 爱薛
'ai'ye 艾叶
'ai'ye'you 艾叶油
'ai'yuan'ying 艾元英
'ai'zhu 艾炷
'ai'zhu'jiu 艾炷灸
'ai'zi 艾子
'an'gong'niu'huang'wan 安宫牛黄丸
'an'jing 暗经
'an'shen 安神
'an'tai 安胎
'an'wan 案抏
'an'wu 案扤
'an'xi'xiang 安息香
'an'ye 桉叶
'an'you 桉油
'ao'ga 奥尕
'ao'shi'shang'han'jin'jing'lu 敖氏伤寒金镜录
'ba'da'xing'ren 叭哒杏仁
'ba'dou 巴豆
'ba'dou'shuang 巴豆霜
'ba'du'hua'fu'sheng'ji'yao 拔都化腐生肌药
'ba'fa 八法
'ba'gang 八纲
'ba'gang'bian'zheng 八纲辨证
'ba'ji'rou 巴戟肉
'ba'ji'tian 巴戟天
'ba'jiao 八角
'ba'jiao'feng 八角枫
'ba'jiao'hui'xiang 八角茴香
'ba'jiao'hui'xiang'you 八角茴香油
'ba'jiao'lian 八角莲
'ba'li'ma 八厘麻
'ba'yue'zha 八月札
'ba'zhen'tang 八珍汤
'ba'zheng'san 八正散
'bai'ba'qia 白菝葜
'bai'ban'jiu'wo 白斑鸠窝
'bai'bei'chi 白贝齿
'bai'bei'feng 白背枫
'bai'bei'feng 白背风
'bai'bei'san'qi 白背三七
'bai'bei'si'chou 白背丝绸
'bai'bei'ye 白背叶
'bai'bei'ye'gen 白背叶根
'bai'beng 白崩
'bai'bi 白疕
'bai'bi'sha 白鼻痧
'bai'bi'wen'san 白避瘟散
'bai'bian'dou 白扁豆
'bai'bian'dou'san 白扁豆散
'bai'bing 白病
'bai'bing'zi 白饼子
'bai'bo'feng 白驳风
'bai'bo'feng'bing 白驳风病
'bai'bo'gan'tai'she 白薄干苔舌
'bai'bo'hua'tai'she 白薄滑苔舌
'bai'bu 百部
'bai'can'hua 白残花
'bai'cao'shuang 百草霜
'bai'ce'er 白侧耳
'bai'cen 白岑
'bai'chan'hou 白缠喉
'bai'chan'hou'feng 白缠喉风
'bai'chang 白肠
'bai'chang 白菖
'bai'chong'bing 白虫病
'bai'chou 白丑
'bai'ci'ye 白茨叶
'bai'dai 白带
'bai'dai'fu'tong 白带腹痛
'bai'dai'wan 白带丸
'bai'dan 白丹
'bai'dan'tou'ming'she 白淡透明舌
