# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_10-40-19
---
'abdominal abdominal
'ability ability
'abilities abilities
'abnormal abnormal
'abnormality abnormality
'abnormalities abnormalities
'absence absence
'absences absences
'absent absent
'absolute absolute
'absorption absorption
'absorptions absorptions
'accord accord
'accorded accorded
'according according
'accords accords
'accumulate accumulate
'accumulated accumulated
'accumulates accumulates
'accumulating accumulating
'accumulation accumulation
'accumulations accumulations
'accuracy accuracy
'accuracies accuracies
'accurate accurate
'accurately accurately
'acid acid
'acids acids
'acquire acquire
'acquired acquired
'acquires acquires
'acquiring acquiring
'activate activate
'activated activated
'activates activates
'activating activating
'activation activation
'active active
'activity activity
'activities activities
'acute acute
'adequate adequate
'adequately adequately
'adjacent adjacent
'adjust adjust
'adjusted adjusted
'adjusting adjusting
'adjusts adjusts
'administer administer
'administered administered
'administering administering
'administers administers
'administration administration
'administrations administrations
'admission admission
'admissions admissions
'adult adult
'adults adults
'advance advance
'advanced advanced
'advances advances
'advancing advancing
'adverse adverse
'affect affect
'affected affected
'affecting affecting
'affects affects
'age age
'ages ages
'aged aged
'agent agent
'agents agents
'aggressive aggressive
'agonist agonist
'agonists agonists
'albumin albumin
'albumins albumins
'alter alter
'altered altered
'altering altering
'alters alters
'alteration alteration
'alterations alterations
'alternatively alternatively
'analysis analysis
'analyses analyses
'animal animal
'animals animals
'antagonist antagonist
'antagonists antagonists
'anterior anterior
'antiinflammatory antiinflammatory
'antibiotic antibiotic
'antibiotics antibiotics
'antibody antibody
'antibodies antibodies
'anxiety anxiety
'anxieties anxieties
'apoptosis apoptosis
'approach approach
'approaches approaches
'appropriate appropriate
'arrest arrest
'arrested arrested
'arresting arresting
'arrests arrests
'arterial arterial
'artery artery
'arteries arteries
'assay assay
'assays assays
'assess assess
'assessed assessed
'assesses assesses
'assessing assessing
'assessment assessment
'assessments assessments
'associate associate
'associated associated
'associates associates
'associating associating
'association association
'associations associations
'asymptomatic asymptomatic
'attributable attributable
'attribute attribute
'attributed attributed
'attributes attributes
'attributing attributing
'availability availability
'availabilities availabilities
'average average
'averages averages
'axis axis
'bacterial bacterial
'barrier barrier
'barriers barriers
'basal basal
'base base
'based based
'bases bases
'basing basing
'baseline baseline
'baselines baselines
'beneficial beneficial
'benefit benefit
'benefits benefits
'benign benign
'best best
'bind bind
'binding binding
'binds binds
'bound bound
'bindings bindings
'biochemical biochemical
'biological biological
'biology biology
'biopsy biopsy
'biopsies biopsies
'bleeding bleeding
'bleedings bleedings
'block block
'blocked blocked
'blocking blocking
'blocks blocks
'blood blood
'bowel bowel
'bowels bowels
'brain brain
'brains brains
'burden burden
'burdens burdens
'cancer cancer
'cancers cancers
'carcinoma carcinoma
'carcinomas carcinomas
'cardiac cardiac
'cardiovascular cardiovascular
'care care
'cares cares
'carrier carrier
'carriers carriers
'case case
'cases cases
'category category
'categories categories
'cause cause
'causes causes
'caused caused
'causing causing
'cell cell
'cells cells
'cellular cellular
'cerebral cerebral
'change change
'changes changes
'characterise characterise
'characterised characterised
'characterises characterises
'characterising characterising
'characterize characterize
'characterized characterized
'characterizes characterizes
'characterizing characterizing
'characteristic characteristic
'characteristics characteristics
'chest chest
'chests chests
'childhood childhood
'childhoods childhoods
'chronic chronic
'circulate circulate
'circulated circulated
'circulates circulates
'circulating circulating
'circulation circulation
'circulations circulations
'classification classification
'classifications classifications
'classify classify
'classified classified
'classifies classifies
'classifying classifying
'clearance clearance
'clearances clearances
'clinic clinic
'clinics clinics
'clinical clinical
'clinically clinically
'clinician clinician
'clinicians clinicians
'cluster cluster
'clusters clusters
'code code
'coded coded
'codes codes
'coding coding
'cognitive cognitive
'cohort cohort
'cohorts cohorts
'collect collect
'collected collected
'collecting collecting
'collects collects
'collection collection
'collections collections
'combination combination
'combinations combinations
'combine combine
'combined combined
'combines combines
'combining combining
'common common
'commonly commonly
'comparable comparable
'compartment compartment
'compartments compartments
'complete complete
'completed completed
'completes completes
'completing completing
'complex complex
'complexes complexes
'compliance compliance
'compliances compliances
'complication complication
'complications complications
'component component
'components components
'compose compose
'composed composed
'composes composes
'composing composing
'compound compound
'compounds compounds
'compromise compromise
'compromised compromised
'compromises compromises
'compromising compromising
'compromize compromize
'compromized compromized
'compromizes compromizes
'compromizing compromizing
'compute compute
'computed computed
'computes computes
'computing computing
'concentration concentration
'concentrations concentrations
'concomitant concomitant
'condition condition
'conditions conditions
'conduct conduct
'conducted conducted
'conducting conducting
'conducts conducts
'confer confer
'confering confering
'conferred conferred
'conferring conferring
'confers confers
'confirm confirm
'confirmed confirmed
'confirming confirming
'confirms confirms
'consensus consensus
'consumption consumption
'consumptions consumptions
'content content
'contents contents
'continuous continuous
'contrast contrast
'contrasts contrasts
'control control
'controls controls
'controlled controlled
'controlling controlling
'controversial controversial
'conversely conversely
'conversion conversion
'conversions conversions
'core core
'cores cores
'correct correct
'corrected corrected
'correcting correcting
'corrects corrects
'correction correction
'corrections corrections
'correlate correlate
'correlated correlated
'correlates correlates
'correlating correlating
'correlation correlation
'correlations correlations
'count count
'counts counts
'creatinine creatinine
'criterion criterion
'criteria criteria
'criterions criterions
'critical critical
'culture culture
'cultures cultures
'current current
'curve curve
'curves curves
'cycle cycle
'cycles cycles
'cytokine cytokine
'cytokines cytokines
'damage damage
'damages damages
'datum datum
'datums datums
'death death
'deaths deaths
'decrease decrease
'decreases decreases
'decreased decreased
'decreasing decreasing
'defect defect
'defects defects
'deficiency deficiency
'deficiencies deficiencies
'define define
'defined defined
'defines defines
'defining defining
'definition definition
'definitions definitions
'definitive definitive
'delay delay
'delays delays
'delayed delayed
'delaying delaying
'delivery delivery
'deliveries deliveries
'demonstrate demonstrate
'demonstrated demonstrated
'demonstrates demonstrates
'demonstrating demonstrating
'density density
'densities densities
'dependence dependence
'dependences dependences
'dependent dependent
'derive derive
'derived derived
'derives derives
'deriving deriving
'detect detect
'detected detected
'detecting detecting
'detects detects
'detectable detectable
'detection detection
'detections detections
'determinant determinant
'determinants determinants
'determination determination
'determinations determinations
'determine determine
'determined determined
'determines determines
'determining determining
'develop develop
'developed developed
'developing developing
'develops develops
'deviation deviation
'deviations deviations
'device device
'devices devices
'diabetes diabetes
'diagnose diagnose
'diagnosed diagnosed
'diagnoses diagnoses
'diagnosing diagnosing
'diagnosis diagnosis
'diagnostic diagnostic
'diameter diameter
'diameters diameters
'diet diet
'diets diets
'differential differential
'differentiate differentiate
'differentiated differentiated
'differentiates differentiates
'differentiating differentiating
'differentiation differentiation
'differentiations differentiations
'diffuse diffuse
'diminish diminish
'diminished diminished
'diminishes diminishes
'diminishing diminishing
'disability disability
'disabilities disabilities
'discharge discharge
'discharges discharges
'discontinue discontinue
'discontinued discontinued
